apparition	ghost	phantom
diddy	puffdaddy	puffy
augustus	caesaraugustus	gaiusoctavius
earth	globe	planetearth
frontman	leadvocalist	leadvocals
gallons	gallon	usgal
host	presenter	tvhost
mentalillness	psychiatricdisorders	psychiatricillness
distilledbeverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairycattle	dairycow
nbachampionship	nbafinals
richardwagner	wagner
weatherman	weathermen
kannadalanguage	kannada
gigabytes	gigabyte
hikarusulu	sulu
dravariver	drava
corticosteroids	corticosteroid
sml	standardml
nationalsymbols	nationalsymbol
carrack	nau
provisionalira	provisionalirishrepublicanarmy
equatorialclimate	tropicalrainforestclimate
benfranklin	benjaminfranklin
unitedstatessupremecourt	ussupremecourt
greatfamine	irishpotatofamine
sanfranciscostateuniversity	sfsu
asimov	isaacasimov
cad	computeraideddesign
mi6	secretintelligenceservice
sandinistanationalliberationfront	sandinistas
congobrazzaville	congo
westnilevirus	wnv
houseunamericanactivitiescommittee	huac
diagnosis	medicaldiagnosis
mahayanabuddhism	mahayana
shirelles	theshirelles
gregoriancalendar	westerncalendar
whitedeertownship	whitedeer
tendinitis	tendonitis
herefordshire	hereford
windows	window
dissertation	thesis
hardwicktownship	hardwick
carpaltunnelsyndrome	carpaltunnel
reducedinstructionsetcomputing	risc
bluesbrothers	thebluesbrothers
nebulae	nebula
palestineliberationorganization	plo
languages	linguistics
undp	unitednationsdevelopmentprogramme
cicero	marcustulliuscicero
corporatesocialresponsibility	csr
mohammadrezapahlavi	shahmohammadrezapahlavi
intelligencequotient	iqtest
pinnipedia	pinniped
elopement	elope
lax	losangelesinternationalairport
lowerclass	workingclass
sandiegostateuniversity	sdsu
ccny	citycollege
sonicdrivein	sonic
ianmckellen	sirianmckellen
amoebas	amoeba
basel	basle
fenrir	fenris
bumiputera	bumiputra
davidcrockett	davycrockett
coxcable	coxcommunications
nationalliberationfront	vietcong
helenhayestheatre	littletheatre
hotdogs	hotdog
loge	loki
cartagenadeindias	cartagena
migueldeunamuno	unamuno
laotzu	laozi
fishingboat	fishingvessel
tarotcards	tarot
puertoricans	puertorican
cassel	kassel
microsoftword	word
magazine	periodical
andrewjackson	oldhickory
cablechannel	cablenetwork
sdtv	standarddefinitiontelevision
italianatearchitecture	italianate
airtel	bhartiairtel
appliedarts	appliedart
wutangclan	wutang
upperpalaeolithic	upperpaleolithic
thetimes	times
shemphoward	shemp
malate	malicacid
bostonsymphonyorchestra	bso
sailorvenus	sailorv
nassaucoliseum	nassauveteransmemorialcoliseum
cvspharmacy	cvs
bundesbank	deutschebundesbank
tasmaniantiger	thylacine
congestiveheartfailure	heartfailure
arcadegame	arcade
gentoolinux	gentoo
nativemode	native
stammering	stuttering
saturdaynightlive	snl
shiaislam	shiite
farsightedness	hyperopia
germanicpeoples	germanictribes
currencymarket	foreignexchangemarket
simpsons	thesimpsons
rhodesscholarship	rhodesscholar
fisheries	fishery
perfectaspect	perfect
groundstation	satelliteearthstation
newsconference	pressconference
joejackson	shoelessjoejackson
rotaryclub	rotaryinternational
fantagraphicsbooks	fantagraphics
cherryblossom	sakura
ai	artificialintelligence
sabines	sabine
romanilanguage	romany
ea	electronicarts
eggharbortownship	eggharbor
jeetkunedo	jkd
libertyrecords	liberty
southwestairlines	southwest
continentalag	continental
asiancuisine	asian
waiter	waitress
hollywoodcemetery	hollywoodforevercemetery
metamorphosis	themetamorphosis
thetubes	tubes
chartism	chartist
tcell	tlymphocytes
rnzaf	royalnewzealandairforce
christianmission	mission
b2b	businesstobusiness
complexsystems	complexsystem
hunanprovince	hunan
malacca	melaka
blackjack	twentyone
donatism	donatist
henan	honan
shiraz	syrah
sat	scholasticaptitudetest
lumber	timber
bicarbonate	hydrogencarbonate
christianity	christian
airforceglobalstrikecommand	globalstrikecommand
documentaryfilm	documentary
column	newspapercolumn
hades	pluto
punkrock	punk
neworleans	nola
qpr	queensparkrangers
city	manchestercity
willistowntownship	willistown
brooklynnavyyard	newyorknavyyard
bios	systembios
cmv	cytomegalovirus
ethiopianorthodoxchurch	ethiopianorthodoxtewahedochurch
polpot	salothsar
andesmountains	andes
tradesunioncongress	tuc
marches	march
internationalunits	iu
baronharkonnen	vladimirharkonnen
newworldcommunications	newworldpictures
tau	telavivuniversity
streamlinemoderne	streamline
interstate405	sandiegofreeway
insulae	insula
gravitationalradiation	gravitationalwave
latvianlanguage	latvian
airforceacademy	unitedstatesairforceacademy
ethnicdiversity	multiculturalism
optimization	programoptimization
stardust	timeless
electoralsystem	votingsystem
defenceforces	irishdefenceforces
christophercolumbus	columbus
stonermetal	stonerrock
conocophillips	conoco
xinjianguyghurautonomousregion	xinjiang
playhousetheatre	theplayhouse
mi5	securityservice
diarrhea	diarrhoea
louisianastateuniversity	lsu
frederickwilliam	friedrichwilhelm
fujitelevision	fujitv
borispasternak	pasternak
brianeno	eno
sheriffs	sheriff
banking	bank
tridentmissile	trident
thetroggs	troggs
goldmansachs	goldman
protestantism	protestant
henrikibsen	ibsen
antonchekhov	chekhov
guadianariver	guadiana
gottfriedwilhelmleibniz	leibniz
hawaiianlanguage	hawaiian
kidneyfailure	renalfailure
leoncavallo	ruggeroleoncavallo
feathers	feather
david	kingdavid
dustbrothers	thedustbrothers
arabianpeninsula	arabia
saxogrammaticus	saxo
heidelberguniversity	heidelberg
importsubstitutionindustrialization	importsubstitution
virtualprivatenetwork	vpn
saureus	staphylococcusaureus
johnphilipsousa	sousa
jeffbeckgroup	thejeffbeckgroup
synthesizer	synth
cymbals	cymbal
johnchapman	johnnyappleseed
victorianarchitecture	victorian
brittleness	brittle
madhvacharya	madhva
atmosphericentry	atmosphericreentry
chiptunes	chiptune
litmustest	litmus
gratuity	tipping
forbesmagazine	forbes
donbradman	sirdonaldbradman
socialism	socialist
drifters	thedrifters
api	applicationprogramminginterface
reich	stevereich
krzysztofpenderecki	penderecki
ultimaonline	uo
jiangsuprovince	jiangsu
forumromanum	romanforum
chasemanhattanbank	chase
television	tv
augusterodin	rodin
floridastateuniversity	fsu
caledfwlch	excalibur
bostonbruins	bruins
icao	internationalcivilaviationorganization
danzig	glenndanzig
earthquake	tremor
assyrianpeople	assyrians
xinhuanewsagency	xinhua
windowsxp	xp
alexanderborodin	borodin
fantasyrecords	fantasy
maidmarian	marian
marginaltaxrate	taxrate
anginapectoris	angina
terabytes	terabyte
newscorporation	newscorp
woodwindinstrument	woodwind
jeansibelius	sibelius
vijayanagarempire	vijayanagaraempire
familyhistory	genealogy
chronicobstructivepulmonarydisease	copd
boulez	pierreboulez
adobesystems	adobe
giacomomeyerbeer	meyerbeer
thegovernmentinspector	theinspectorgeneral
centralprocessingunit	cpu
vandergraafgenerator	vandergraaf
cdc	controldatacorporation
lucianopavarotti	pavarotti
male	men
amctheatres	amc
jeanphilipperameau	rameau
harveydent	twoface
ecb	europeancentralbank
remittances	remittance
fujianprovince	fujian
antoninartaud	artaud
datastoragedevice	recordingmedium
bladder	urinarybladder
erik	thephantom
beltway	ringroad
latinalphabet	romanalphabet
episcopacy	episcopalpolity
monlanguage	mon
haydn	josephhaydn
emesa	homs
cubism	cubist
kazakhs	kazakh
melkor	morgoth
redness	red
diabetesmellitus	diabetes
audubonsociety	nationalaudubonsociety
birthcontrol	contraception
labourparty	pvda
trento	trent
hindutemple	mandir
fenderstratocaster	strat
worldsciencefictionconvention	worldcon
supremes	thesupremes
symphonicpoem	tonepoem
fredrogers	misterrogers
leukocytes	whitebloodcell
johnsoane	sirjohnsoane
glycosides	glycoside
brendan	saintbrendan
standardoilcompany	standardoil
thevampirediaries	vampirediaries
fritillaria	fritillary
livejournal	lj
franzschubert	schubert
ichirosuzuki	ichiro
countyoffaly	offaly
zebulon	zebulun
cornishlanguage	cornish
captainjamescook	jamescook
unitedpressinternational	upi
chimpanzee	chimp
taipeicity	taipei
indianapolis500	indy500
bresson	robertbresson
akmolinsk	astana
anxiolytics	anxiolytic
organicacids	organicacid
scorpio	scorpius
cohen	kohen
zulukingdom	zululand
victoria	vic
modernlibrary	themodernlibrary
azerbaijanis	azeri
virginiamilitaryinstitute	vmi
doublej	triplej
durumwheat	durum
iggypop	iggy
boatramp	slipway
homemaker	homemaking
lf	lowfrequency
doobiebrothers	thedoobiebrothers
oresteia	theoresteia
unemploymentbenefits	unemploymentbenefit
britishpeerage	peerage
aleksandrsolzhenitsyn	solzhenitsyn
instrumentalist	musician
andrewssisters	theandrewssisters
delusions	delusion
feed	webfeed
ukrainianlanguage	ukrainian
worldtradeorganization	wto
scottishpremierleague	spl
mebibyte	mib
asio	australiansecurityintelligenceorganisation
chewa	nyanja
dentistry	dentist
commissionergordon	jamesgordon
emperormeiji	meijiemperor
carlfriedrichgauss	gauss
badfinger	theiveys
belmondo	jeanpaulbelmondo
childerici	childeric
benetleilax	tleilaxu
riftvalleyprovince	riftvalley
independentfilm	indiefilm
brutus	marcusjuniusbrutus
hipfractures	hipfracture
epicrecords	epic
certifiedpublicaccountant	cpa
dramatist	playwright
antiwarmovement	antiwar
khalistanmovement	khalistan
bruise	contusion
mule	themule
dailynews	newyorkdailynews
kkr	kohlbergkravisroberts
nationalrenewableenergylaboratory	nrel
multicoreprocessor	multicore
jetpropulsionlaboratory	jpl
padova	padua
newjerseyturnpikeauthority	newjerseyturnpike
judahhalevi	yehudahalevi
lionsgateentertainment	lionsgate
lyrichammersmith	lyrictheatre
openvld	vld
craze	fad
sar	syntheticapertureradar
jamesdavis	jimdavis
maternaldeath	maternalmortality
highbloodsugar	hyperglycemia
christmasmusic	christmassong
communitycenter	communitycentre
bangles	thebangles
earl	jarl
abstractexpressionism	abstractexpressionist
phibunsongkhram	phibun
collegeboard	thecollegeboard
communicationsprotocol	protocol
federalexpress	fedex
xraycrystallography	xraydiffraction
transporthub	transportationhub
sprintcupseries	winstoncup
wordprocessing	wordprocessor
champcarworldseries	champcar
mentoring	mentorship
chiefinformationofficer	cio
gabrieli	giovannigabrieli
nam	nonalignedmovement
ufo	unidentifiedflyingobject
astrodome	houstonastrodome
michaelnyman	nyman
afcchampionshipgame	afcchampionship
cilantro	coriander
gratefuldead	thegratefuldead
lisboa	lisbon
aerialrefueling	aerialrefuelling
belgique	belgium
libertarianism	libertarian
police	thepolice
swamivivekananda	vivekananda
elizabeth	saintelizabeth
biologicalsciences	biology
surveying	surveyor
asteraceae	compositae
pulp	woodpulp
cantonesecuisine	cantonese
delfonics	thedelfonics
dubmusic	dub
ccr	creedenceclearwaterrevival
volkswagenag	volkswagengroup
devil	thedevil
livy	tituslivius
diabase	dolerite
melanesian	melanesia
negevdesert	negev
businesslaw	commerciallaw
mushroom	toadstool
decorationday	memorialday
fantasticfour	thefantasticfour
organisation	organization
westpaterson	woodlandpark
codesharing	codeshareagreement
ayatollahkhomeini	ruhollahkhomeini
missiondistrict	themission
tatramountains	tatras
pablopicasso	picasso
